Identifiant,City,Post_Code,Address,Sales_Date,House_Type,Price,Number_of_Rooms,House_Inside_Area,Population,Population_Density(km2),Altitude_min(m),Avg_Temperature,Number_of_Schools,Number_of_Hospital,Region_Area(km2),Precipitation,Avg_Monthly_Salary,Avg_Age
2020-162247,Angers,49000,4 RUE ALEXIS GILLIER,24/06/2020,Appartement,125190,2,42,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162192,Angers,49000,3 PL PIERRE SEMARD,23/06/2020,Appartement,150000,3,70,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162191,Angers,49000,54 RUE LAREVELLIERE,23/06/2020,Maison,148000,3,70,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162264,Angers,49000,16 RUE LOUIS LEROY,23/06/2020,Maison,380000,7,97,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162233,Angers,49000,1 RUE EUGENE CLAUDIUS PETIT,22/06/2020,Appartement,115000,3,69,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162254,Angers,49000,10 RUE DU PRE PIGEON,22/06/2020,Appartement,205000,3,66,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162225,Angers,49000,13B RUE DE LA MAITRE ECOLE,22/06/2020,Maison,155000,4,95,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162219,Angers,49000,37 RUE ST AUBIN,22/06/2020,Appartement,330000,4,112,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162189,Angers,49000,51 RUE BERANGER,19/06/2020,Appartement,100000,2,35,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162253,Angers,49000,71 RUE DU PRE PIGEON,18/06/2020,Appartement,112000,2,53,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162188,Angers,49000,14 AV DU GEN FOY,18/06/2020,Maison,327050,4,105,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162259,Angers,49000,11 RUE LOUIS GAIN,18/06/2020,Appartement,120500,2,77,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162113,Angers,49000,31 BD ST MICHEL,18/06/2020,Appartement,420000,5,109,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162146,Angers,49000,3 RUE SARRET TERRASSE,17/06/2020,Maison,370000,6,109,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162168,Angers,49000,20 RUE DE BUFFON,17/06/2020,Appartement,230100,2,31,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162101,Angers,49000,28 RUE JOSEPH CUSSONNEAU,16/06/2020,Appartement,104118,2,39,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162244,Angers,49000,1 IMP TOUSSAINT,16/06/2020,Appartement,135000,2,48,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163549,Angers,49000,29 RUE DES GOURONNIERES,16/06/2020,Appartement,63000,1,27,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163568,Angers,49000,19 BD DAVIERS,16/06/2020,Appartement,100000,1,23,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162120,Angers,49000,74B RUE PLANTAGENET,15/06/2020,Appartement,219000,2,62,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163528,Angers,49000,28 RUE DACIER,15/06/2020,Appartement,120500,2,28,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162097,Angers,49000,4 IMP DES PETITS MURS,15/06/2020,Appartement,122000,2,35,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162100,Angers,49000,97 RUE JOACHIM DU BELLAY,13/06/2020,Maison,517000,8,178,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162080,Angers,49000,17 RUE ELISEE RECLUS,12/06/2020,Maison,135000,4,75,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162009,Angers,49000,74 BD HENRI DUNANT,12/06/2020,Appartement,130000,3,68,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162082,Angers,49000,29B RUE LOUIS GAIN,12/06/2020,Appartement,124000,3,65,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162147,Angers,49000,1 RUE DE LA PINTERIE,12/06/2020,Appartement,430000,6,190,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162095,Angers,49000,1 RUE ROBERT SURCOUF,11/06/2020,Appartement,120000,2,43,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162119,Angers,49000,71 RUE DU PRE PIGEON,11/06/2020,Appartement,221600,3,63,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162159,Angers,49000,5 RUE DE LA MADELEINE,11/06/2020,Appartement,186900,3,58,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162117,Angers,49000,28 RUE JOSEPH CUSSONNEAU,11/06/2020,Appartement,90000,2,40,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162127,Angers,49000,23 RUE RENOU,11/06/2020,Maison,245000,3,90,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162164,Angers,49000,5 RUE ST EXUPERY,11/06/2020,Appartement,175000,3,70,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162104,Angers,49000,8B RUE DU COMMERCE,11/06/2020,Appartement,227000,4,70,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162046,Angers,49000,20 RUE ST GEORGES,11/06/2020,Appartement,230500,4,72,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162024,Angers,49000,74 BD HENRI DUNANT,11/06/2020,Appartement,155000,5,95,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162234,Angers,49000,50 BD ST MICHEL,11/06/2020,Appartement,106000,2,37,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161978,Angers,49000,4B RUE BODINIER,10/06/2020,Appartement,214000,4,65,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163538,Angers,49000,9 BD MIRAULT,10/06/2020,Appartement,122000,2,53,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162034,Angers,49000,15 RUE LEON PAVOT,09/06/2020,Maison,320000,5,110,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162141,Angers,49000,5 RUE DE L ESVIERE,09/06/2020,Maison,420000,5,118,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163404,Angers,49000,8 RUE ST LAZARE,08/06/2020,Appartement,79249,1,29,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163614,Angers,49000,6 RUE GREGOIRE LACHESE,08/06/2020,Appartement,120000,3,68,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162170,Angers,49000,53 RUE BOISNET,08/06/2020,Appartement,110000,2,35,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161948,Angers,49000,121 RUE DU PRE PIGEON,08/06/2020,Maison,434135,6,140,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162143,Angers,49000,9 RUE DU CANAL,05/06/2020,Appartement,200000,3,84,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161949,Angers,49000,13 RUE DUBOYS,05/06/2020,Appartement,230000,5,106,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161922,Angers,49000,46 BD AYRAULT,05/06/2020,Appartement,77000,1,39,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163585,Angers,49000,8 RUE GARNIER,05/06/2020,Appartement,76900,1,20,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162252,Angers,49000,28 RUE JOSEPH CUSSONNEAU,05/06/2020,Appartement,72000,2,39,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161867,Angers,49000,7 RUE DESJARDINS,05/06/2020,Appartement,97600,1,30,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161982,Angers,49000,25 RUE DELAAGE,05/06/2020,Appartement,136250,3,51,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163600,Angers,49000,20 PL DU TERTRE ST LAURENT,04/06/2020,Maison,1074700,7,305,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161946,Angers,49000,14 ALL FRANCOIS MITTERRAND,04/06/2020,Appartement,163000,3,69,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161981,Angers,49000,32 AV MONTAIGNE,04/06/2020,Appartement,121000,2,63,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161892,Angers,49000,29 RUE LOUIS GAIN,04/06/2020,Appartement,102000,2,51,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161923,Angers,49000,18 RUE CHATEAUGONTIER,03/06/2020,Appartement,112000,1,18,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161897,Angers,49000,20 RUE DE LA CHALOUERE,03/06/2020,Appartement,185000,3,65,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161937,Angers,49000,5 RUE LAMARTINE,03/06/2020,Maison,180000,3,76,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161976,Angers,49000,15 RUE TARIN,02/06/2020,Appartement,152000,3,60,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163575,Angers,49000,11 PL GREGOIRE BORDILLON,02/06/2020,Appartement,54900,1,24,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162221,Angers,49000,11 RUE JEAN COMMERE,02/06/2020,Maison,450000,4,112,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162212,Angers,49000,15 RUE DES FRUITS,02/06/2020,Appartement,230000,2,41,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163416,Angers,49000,31 RUE DES REVERIES,02/06/2020,Appartement,109000,2,53,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163572,Angers,49000,41 RUE ST JACQUES,02/06/2020,Appartement,56000,1,18,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162057,Angers,49000,17 RUE FLORENT CORNILLEAU,29/05/2020,Maison,175000,3,87,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162088,Angers,49000,19 RUE MAILLE,29/05/2020,Appartement,307000,2,40,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161965,Angers,49000,15 RUE DU PRE PIGEON,29/05/2020,Appartement,175000,3,64,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163411,Angers,49000,50 RUE ST JACQUES,29/05/2020,Appartement,205000,3,65,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161896,Angers,49000,25 RUE CHATEAUGONTIER,29/05/2020,Appartement,195000,3,74,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161910,Angers,49000,71 BD DU VAUGAREAU,29/05/2020,Maison,150000,4,65,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163525,Angers,49000,40 RUE MARC CHAGALL,29/05/2020,Maison,117000,4,94,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161904,Angers,49000,13 RUE D ANJOU,29/05/2020,Appartement,290000,3,84,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162123,Angers,49000,16 RUE MARCEAU,29/05/2020,Appartement,98000,2,37,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162043,Angers,49000,8 BD CARNOT,29/05/2020,Appartement,630000,1,36,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161999,Angers,49000,58 RUE DU LUTIN,29/05/2020,Maison,428000,5,110,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162121,Angers,49000,1 RUE ST LEONARD,29/05/2020,Appartement,195000,3,74,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163407,Angers,49000,18 AV GEN PATTON,29/05/2020,Appartement,110000,2,37,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161911,Angers,49000,60 RUE ST JULIEN,29/05/2020,Appartement,360000,5,127,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161848,Angers,49000,34 RUE CHATEAUGONTIER,28/05/2020,Appartement,98000,1,18,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161862,Angers,49000,4 RUE LEON THULEAU,28/05/2020,Appartement,58000,2,23,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163405,Angers,49000,14 RUE DE LA MEIGNANNE,28/05/2020,Appartement,92000,2,31,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163437,Angers,49000,5B RUE MONTESQUIEU,28/05/2020,Appartement,120000,3,60,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161891,Angers,49000,30 AV PASTEUR,28/05/2020,Maison,530000,9,220,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161852,Angers,49000,9 ALL GEORGES POMPIDOU,28/05/2020,Appartement,150000,2,51,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162177,Angers,49000,13 CHE DU PETIT MONTREJEAU,27/05/2020,Appartement,151000,3,55,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161842,Angers,49000,13 RUE MARCEL CHUTEAUX,27/05/2020,Maison,255000,5,78,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-161984,Angers,49000,4 PAS DU PIGEON FLEURI,27/05/2020,Maison,203800,3,63,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163482,Angers,49000,30 RUE DES CARMES,27/05/2020,Appartement,72000,1,28,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
